record_id,source,audience,city,type,name,first_name,instagram,has_instagram,followers,email,email_found_on,phone,phone_found_on,website,contactable,incomplete_because
osm-NYC-barbershop-00001,Unlabelled,localbiz,NYC,Barber Shop,Shantl & Co,,,False,,,,,,https://www.barbershopny.com/,no,"No contact, and city not provable"
osm-NYC-barbershop-00002,Unlabelled,localbiz,NYC,Barber Shop,David's Hairstyling,,,False,,,,,,https://davidshairstylingny.com,no,"No contact, and city not provable"
osm-NYC-bookstore-00056,Unlabelled,localbiz,NYC,Bookstore,Dar-Us-Salam Bookstore,,,False,,,,,,https://darussalamny.com,no,"No contact, and city not provable"
osm-NYC-bookstore-00057,Unlabelled,localbiz,NYC,Bookstore,Word Bookstore,,,False,,,,,,https://www.wordbookstores.com/,no,"No contact, and city not provable"
osm-NYC-bookstore-00058,Unlabelled,localbiz,NYC,Bookstore,Lofty Pigeon Books,,,False,,,,,,https://www.loftypigeonbooks.com/,no,"No contact, and city not provable"
osm-NYC-bookstore-00059,Unlabelled,localbiz,NYC,Bookstore,Terrace Books,,,False,,,,,,https://www.communitybookstore.net/,no,"No contact, and city not provable"
osm-NYC-bookstore-00060,Unlabelled,localbiz,NYC,Bookstore,The Nonbinarian,,,False,,,,,,https://thenonbinarian.gay/,no,"No contact, and city not provable"
osm-NYC-bookstore-00061,Unlabelled,localbiz,NYC,Bookstore,Anyone Comics,,,False,,,,,,https://www.anyonecomics.com,no,"No contact, and city not provable"
osm-NYC-bookstore-00062,Unlabelled,localbiz,NYC,Bookstore,Greenlight Bookstore,,,False,,,,,,https://www.greenlightbookstore.com/,no,"No contact, and city not provable"
osm-NYC-bookstore-00063,Unlabelled,localbiz,NYC,Bookstore,Small Editions,,,False,,,,,,https://www.smalleditionsnyc.com,no,"No contact, and city not provable"
osm-NYC-bookstore-00064,Unlabelled,localbiz,NYC,Bookstore,PowerHouse Arena,,,False,,,,,,https://www.powerhousearena.com/,no,"No contact, and city not provable"
osm-NYC-bookstore-00065,Unlabelled,localbiz,NYC,Bookstore,Mekor Judaica,,,False,,,,,,https://mekorjudaica.com/,no,"No contact, and city not provable"
osm-NYC-bookstore-00066,Unlabelled,localbiz,NYC,Bookstore,Eichler's,,,False,,,,,,https://www.shopeichlers.com,no,"No contact, and city not provable"
osm-NYC-bookstore-00067,Unlabelled,localbiz,NYC,Bookstore,Z Berman Books - Flatbush,,,False,,,,,,https://zbermanbooks.com/,no,"No contact, and city not provable"
osm-NYC-bookstore-00068,Unlabelled,localbiz,NYC,Bookstore,The Ripped Bodice,,,False,,,,,,https://www.therippedbodicela.com/ripped-bodice-brooklyn-faq,no,"No contact, and city not provable"
osm-NYC-bookstore-00069,Unlabelled,localbiz,NYC,Bookstore,Books Are Magic,,,False,,,,,,https://www.booksaremagic.net/,no,"No contact, and city not provable"
osm-NYC-bookstore-00070,Unlabelled,localbiz,NYC,Bookstore,Spoonbill & Sugartown Booksellers,,,False,,,,,,https://spoonbillbooks.com/,no,"No contact, and city not provable"
osm-NYC-bookstore-00071,Unlabelled,localbiz,NYC,Bookstore,Slope Comics & Collectibles,,,False,,,,,,https://slopecomics.com,no,"No contact, and city not provable"
osm-NYC-bookstore-00072,Unlabelled,localbiz,NYC,Bookstore,All Eyes on Egipt,,,False,,,,,,http://unwonline.org/bookstores-classes/,no,"No contact, and city not provable"
osm-NYC-bookstore-00073,Unlabelled,localbiz,NYC,Bookstore,Human Relations,,,False,,,,,,http://humanrelationsbooks.com/,no,"No contact, and city not provable"
osm-NYC-bookstore-00074,Unlabelled,localbiz,NYC,Bookstore,Catland,,,False,,,,,,https://www.catlandbooks.com/,no,"No contact, and city not provable"
osm-NYC-bookstore-00075,Unlabelled,localbiz,NYC,Bookstore,Berl's Brooklyn Poetry Shop,,,False,,,,,,https://berlspoetry.com,no,No email or phone printed on their own pages
osm-NYC-bookstore-00076,Unlabelled,localbiz,NYC,Bookstore,Mil Mundos Books,,,False,,,,,,https://milmundosbooks.com/,no,"No contact, and city not provable"
osm-NYC-bookstore-00077,Unlabelled,localbiz,NYC,Bookstore,Center for Fiction Bookstore,,,False,,,,,,https://centerforfiction.org/visit/bookstore/,no,"No contact, and city not provable"
osm-NYC-bookstore-00078,Unlabelled,localbiz,NYC,Bookstore,Molasses Books,,,False,,,,,,https://www.molassesbooks.org/,no,"No contact, and city not provable"
osm-NYC-bookstore-00079,Unlabelled,localbiz,NYC,Bookstore,Quimby's Bookstore,,,False,,,,,,https://quimbysnyc.com,no,"No contact, and city not provable"
osm-NYC-bookstore-00080,Unlabelled,localbiz,NYC,Bookstore,Kayroxk,,,False,,,,,,https://www.kayrock.org/,no,"No contact, and city not provable"
osm-NYC-bookstore-00081,Unlabelled,localbiz,NYC,Bookstore,leaves,,,False,,,,,,https://www.leavesbookstore.com/,no,"No contact, and city not provable"
osm-NYC-bookstore-00082,Unlabelled,localbiz,NYC,Bookstore,Love & Legends Books,,,False,,,,,,https://www.loveandlegendsbooks.com/,no,"No contact, and city not provable"
osm-NYC-bookstore-00083,Unlabelled,localbiz,NYC,Bookstore,Unnameable Books,,,False,,,,,,https://unnameablebooks.blogspot.com,no,"No contact, and city not provable"
osm-NYC-bookstore-00084,Unlabelled,localbiz,NYC,Bookstore,Playground Annex,,,False,,,,,,https://playgroundcoffeeshop.com/annex/,no,"No contact, and city not provable"
osm-NYC-bookstore-00085,Unlabelled,localbiz,NYC,Bookstore,Black Spring Books,,,False,,,,,,https://www.blackspringbookstore.com,no,"No contact, and city not provable"
osm-NYC-bookstore-00086,Unlabelled,localbiz,NYC,Bookstore,The Word Is Change,,,False,,,,,,https://www.thewordischange.com/,no,"No contact, and city not provable"
osm-NYC-bookstore-00087,Unlabelled,localbiz,NYC,Bookstore,Taylor & Co.,,,False,,,,,,https://www.taylorcobooks.com,no,"No contact, and city not provable"
osm-NYC-bookstore-00088,Unlabelled,localbiz,NYC,Bookstore,McNally Jackson,,,False,,,,,,https://www.mcnallyjackson.com/,no,"No contact, and city not provable"
osm-NYC-bookstore-00089,Unlabelled,localbiz,NYC,Bookstore,The Twisted Spine,,,False,,,,,,https://www.twistedspinebooks.com/,no,"No contact, and city not provable"
osm-NYC-bookstore-00090,Unlabelled,localbiz,NYC,Bookstore,Hive Mind Books,,,False,,,,,,https://www.hivemindbooks.com/,no,"No contact, and city not provable"
osm-NYC-bookstore-00091,Unlabelled,localbiz,NYC,Bookstore,Standards Manual,,,False,,,,,,https://standardsmanual.com/,no,"No contact, and city not provable"
osm-NYC-bookstore-00092,Unlabelled,localbiz,NYC,Bookstore,BEM | books & more,,,False,,,,,,https://www.bembrooklyn.com/,no,"No contact, and city not provable"
osm-NYC-dancestudio-00027,Unlabelled,localbiz,NYC,Dance Studio,Marylou's Dance Studio,,,False,,,,,,https://www.marylousdancestudio.com/,no,"No contact, and city not provable"
osm-NYC-dancestudio-00028,Unlabelled,localbiz,NYC,Dance Studio,Wild Heart Performing Arts Studio,,,False,,,,,,https://www.wildheartpas.com/,no,"No contact, and city not provable"
