id,name,service_type,phone,owner_email,website_url,instagram,address,city,state,lat,lon,data_source,outreach_status,fetched_at
gmap:ChIJtbqNnsf6IgoRQrcdzOmEprc,Ira’s window cleaning,window cleaning,(347) 552-2065,,http://www.easywindowcleaners.com/,,,Brooklyn,NY,40.7698432,-73.9771184,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
gmap:ChIJV3jWaB71wokRdMtzodwg_X0,V-xio Cleaning Services,window cleaning,(914) 387-8309,,,,"2402 Amsterdam Ave, New York, NY 10033, United States",New York,New York,40.8471026,-73.9318577,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
gmap:ChIJY5A1gZRfwokR1b81D0gVTiY,Glass Scratch Fix,window cleaning,(347) 239-1393,,https://glassscratchfix.com/,,"103-10 29th Ave, East Elmhurst, NY 11369, United States",East Elmhurst,New York,40.7621328,-73.8657377,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
gmap:ChIJ41k_7QNZwokRa-407fFfFPI,Empire Window Cleaning,window cleaning,(929) 337-5284,,http://empirewindowcleaning.nyc/,,"41-41 43rd St, Sunnyside, NY 11104",Sunnyside,New York,40.7456168,-73.9207601,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
gmap:ChIJR9qS0Qz1wokRbP9gO85pbLc,Servco Industries Bronx,window cleaning,(718) 409-2310,,https://www.servcoind.com/,,"1315 Blondell Ave, Bronx, NY 10461",Bronx,New York,40.8413527,-73.8419523,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
gmap:ChIJrUUqmzhhwokRKZjPnfKuOCE,Bella window washing,window cleaning,(718) 551-7462,,https://bellawindowswashing.squarespace.com/,,"88-38 199th St, Jamaica, NY 11423",Jamaica,New York,40.7182029,-73.7630716,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
gmap:ChIJnTUJnPpYwokR2l9vU1y2lgY,Simon's Window Cleaning,window cleaning,(332) 877-1119,,https://simonswindows.com/,,"745 5th Ave 5th Floor PMB, # 583, New York, NY 10151",New York,NY,40.7631712,-73.9733933,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
gmap:ChIJfXbs58xZwokRFUdTXarEFwQ,City High Rise Window Cleaning,window cleaning,(917) 749-8342,,https://www.cityhighrisewindowcleaning.com/,,"343 E 74th St #16C, New York, NY 10021",New York,New York,40.7696861,-73.9557104,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
gmap:ChIJ2T1jrT_0wokRsaKE9uo4RBI,City Maid Service,window cleaning,(844) 284-6243,,,,,Brooklyn,NY,40.6971415,-73.979506,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
gmap:ChIJxVeOWrlfwokRKT8TWNTeUH8,Sparkviewcorp,window cleaning,(347) 239-1393,,http://www.sparkviewcorp.com/,,"103-10 29th Ave, East Elmhurst, NY 11369",East Elmhurst,New York,40.7621328,-73.8657377,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
