id,name,service_type,phone,owner_email,website_url,instagram,address,city,state,lat,lon,data_source,outreach_status,fetched_at
yelp:uNARsr0_v2Nw9MvyqsgeNA,Gray's Hair,hair stylist,(305) 684-5098,,,,"7970 SW 37th Ter, Miami, FL 33155",Miami,FL,25.7352133,-80.3249229,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:j_nbDjxT5Dvggc-XDMRHuw,Lesi Hair Studio,hair stylist,(305) 397-4959,,,,"1076 SW 67th Ave, Ste 101, Miami, FL 33144",Miami,FL,25.7601247517155,-80.3051098506247,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:w7S271PXjSM4KYka3QXlzQ,Smith & Mendoza,hair stylist,(305) 444-1722,,,,"2030 Douglas Rd, Ste 115 And 116, Coral Gables, FL 33134",Coral Gables,FL,25.7545242257211,-80.2547952767818,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:s8jXlwuhu5QUTcTcIEoABQ,Lemuria Hair,hair stylist,(786) 806-5979,,,,"155 Majorca Ave, Ste 105, Coral Gables, FL 33134",Coral Gables,FL,25.755396,-80.258005,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:21yU3W1BKkOiLe7vyQCupA,Hair By Yvanis,hair stylist,(954) 829-7093,,,,"8631 Coral Way, Miami, FL 33155",Miami,FL,25.74925,-80.33422,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:uDTewWPhPMlhudc7xtCz4Q,My Place Beauty Salon,hair stylist,(786) 482-8488,,,,"16717 SW 95th St, Miami, FL 33196",Miami,FL,25.6773260390473,-80.4659568660922,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:vp5pw_VYC7gVa_daYZRaeA,Up On Sunset,hair stylist,(305) 661-9181,,,,"7245 SW 57th Ct, South Miami, FL 33143",South Miami,FL,25.7036450436754,-80.2860908,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:Z7n4A76UjPqN-I_QbRlNpw,Divine Locs Designs,hair stylist,(754) 273-2464,,,,"8910 Miramar Pkwy, Ste 307, Miramar, FL 33025",Miramar,FL,25.98049,-80.263677,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:z8wYj1kNP3KF5xTaM0dMGA,Annia's Stylist,hair stylist,(786) 277-7040,,,,"Miami, FL 33172",Miami,FL,25.786305,-80.360492,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:5zx3RS2XNpGbmHQ6jFygYQ,Beauty Mall,hair stylist,(786) 953-8700,,,,"12204 Miramar Pkwy, Miramar, FL 33025",Miramar,FL,25.9785315,-80.3089273,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:AprLo3AILr62rln2bzWPkw,Jase Hair Effects,hair stylist,(806) 224-5880,,,,"2263 SW 37th Ave, Coral Gables, FL 33145",Coral Gables,FL,25.74859,-80.25422,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:i2GxHTcIgEv-tZqF7_AP-A,Antonello Pasci Organic Salon & Products,hair stylist,(305) 443-7959,,,,"323 Navarre Ave, Ste 105, Coral Gables, FL 33134",Coral Gables,FL,25.7545394897461,-80.261962890625,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:2eoNenKwH-YoeuEM_KELvA,Wolff-Sachs Hair,hair stylist,(917) 791-7662,,,,"Miami Beach, FL 33140",Miami Beach,FL,25.8159733311901,-80.1390086061849,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:Z2-0MicWnNbb7mjz2zNdVw,M & Y Chic Salon,hair stylist,(305) 200-3154,,,,"6354 SW 8th St, West Miami, FL 33144",West Miami,FL,25.76301,-80.29906,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:KO2Zuo3z9RMiWdgEQHruhg,My Salon Suite,hair stylist,(786) 708-1658,,,,"155 Majorca Ave, Coral Gables, FL 33134",Coral Gables,FL,25.755396,-80.258005,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:QZA0F4TUnIzcrp3AcAgSdg,Fatima Salon,hair stylist,(305) 592-2245,,,,"4735 NW 79th Ave, Doral, FL 33166",Doral,FL,25.8167477,-80.3253555,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:2vHb7pfZjrZ6eECjHcJyRw,Alfredo's Style,hair stylist,(305) 885-5749,,,,"53 W 21st St, Ste 9, Hialeah, FL 33010",Hialeah,FL,25.8411265436219,-80.2826762571931,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:hly-mV3yfBn2ocCadZrD_Q,African Braiding By Carine,hair stylist,(754) 230-6730,,,,"10071 Pines Blvd, Ste E, Pembroke Pines, FL 33024",Pembroke Pines,FL,26.009275,-80.279011,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:dEiamQy8tLBPrdmhZ0mcVg,HenrryStyles Salon,hair stylist,(305) 447-8628,,,,"5552 SW 8th St, Miami, FL 33134",Miami,FL,25.76327,-80.28492,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:VquwKODS2zPKwtzVKi6Qsg,Ana Gloria Hair Design,hair stylist,(305) 510-5633,,,,"6840 SW Bird Rd, Ste 212, Beauty Mall Suite, Miami, FL 33155",Miami,FL,25.7327079,-80.3055691,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:3tMbs8jmeEM1LLsBbJiFCQ,Manolo,hair stylist,(305) 778-1098,,,,"1755 SW 3rd Ave, Ste 10, Miami, FL 33129",Miami,FL,25.7606194633998,-80.2003042,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:kBxG2NDqFIdcA7hnnRFFcg,Styledbykayjay,hair stylist,(786) 568-1969,,,,"Miami, FL 33127",Miami,FL,25.8132485158063,-80.2055769116778,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:cfZvq0aDrDUocML75WfygQ,A Creative Look,hair stylist,(305) 232-2854,,,,"12141 S Dixie Hwy, Miami, FL 33156",Miami,FL,25.6576099,-80.3268127,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:Jj9SCvLtS_9J6H4c1q44xQ,Beauty Mall,hair stylist,(786) 953-8700,,,,"6840 SW 40th St, Miami, FL 33155",Miami,FL,25.7332523,-80.3056856,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:3XpyaCeadM9MDRvgW_apCA,Kevin T Gaskins,hair stylist,(267) 230-7432,,,,"2922 Ponce De Leon, Miami, FL 33134",Miami,FL,25.74533,-80.258801,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:uCb8cN718SPCouzXWAvI-Q,Beauty By Hali,hair stylist,(404) 655-1045,,,,"698 NE 1st Ave, Unit 4410, Miami, FL 33132",Miami,FL,25.7808119,-80.1923532,yelp,new,2026-08-02T00:00:11.842+00:00
yelp:9nKlLDPCTPFp6-xapyR3mw,Oasis Salon,hair stylist,(305) 790-7347,,,,"18731 S Dixie Hwy, Cutler Bay, FL 33157",Cutler Bay,FL,25.5952537137077,-80.3554704030402,yelp,new,2026-08-02T00:00:11.842+00:00
