id,name,service_type,phone,owner_email,website_url,instagram,address,city,state,lat,lon,data_source,outreach_status,fetched_at
gmap:ChIJV3jWaB71wokRdMtzodwg_X0,V-xio Cleaning Services,window cleaning,(914) 387-8309,,,,"2402 Amsterdam Ave, New York, NY 10033, United States",New York,New York,40.8471026,-73.9318577,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
gmap:ChIJD4NccupYwokRAbDD0hO2t8E,Total Window Cleaners,window cleaning,(800) 945-2727,,https://www.totalwindowcleaners.com/about-us/,,"217 E 70th St, New York, NY 10021, United States",New York,New York,40.7680835,-73.9601148,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
gmap:ChIJtbqNnsf6IgoRQrcdzOmEprc,Ira’s window cleaning,window cleaning,(347) 552-2065,,http://www.easywindowcleaners.com/,,,Brooklyn,NY,40.7698432,-73.9771184,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
gmap:ChIJUe6D2wL1wokRfxJ6XcX0TRY,NYC Window Cleaning of Bronx,window cleaning,(914) 745-6787,,https://www.windowcleaningbronxny.net/,,"1060 Beach Ave Apt 6F, Bronx, NY 10472",Bronx,New York,40.8271089,-73.8650637,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
gmap:ChIJb7nW95_2wokR2e_vuktSdbg,Window Cleaning service 24/7,window cleaning,(917) 640-1832,,,,"1204 Shakespeare Ave, Bronx, NY 10452",Bronx,New York,40.8367858,-73.923054,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
gmap:ChIJc6Xnr0hfwokRci-PX0-i9YI,eMaster Cleaning,window cleaning,(917) 251-1001,,https://emasterclean.wixsite.com/info,,"150-01 34th Ave, Flushing, NY 11377",Flushing,New York,40.7678045,-73.8151407,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
gmap:ChIJY5A1gZRfwokR1b81D0gVTiY,Glass Scratch Fix,window cleaning,(347) 239-1393,,https://glassscratchfix.com/,,"103-10 29th Ave, East Elmhurst, NY 11369, United States",East Elmhurst,New York,40.7621328,-73.8657377,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
gmap:ChIJP5EAEmv3wokRh3DmMQJBil0,Cleaning Chief,window cleaning,(332) 232-3422,,https://www.cleaningchief.com/?utm_source=gmb,,"608 W 138th St, New York, NY 10031, United States",New York,New York,40.8221854,-73.9545342,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
gmap:ChIJv5MnmhRgwokR4nuQtIssPzk,CJ Professional Services Handyman Pressure washing Window & Gutter cleaning servicing Queens & LI,window cleaning,(267) 213-3012,,,,"43-70 Kissena Blvd, Flushing, NY 11355, United States",Flushing,New York,40.7535479,-73.8236701,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
gmap:ChIJL_d9rGT3wokRjQBWY2L6wvU,FEDCAP WILDCAT JANITOR,window cleaning,(347) 424-2801,,,,"1919 Madison Ave, New York, NY 10035, United States",New York,New York,40.8045686,-73.9410797,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
gmap:ChIJISQxlraI_YwR_bJe9v4qods,HD Cleaning,window cleaning,(917) 716-0771,,https://hdcleaning.lovable.app/,,,Brooklyn,NY,40.6860039,-73.815372,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
gmap:ChIJwdudY1COVmoRz3x3d2nIIzY,DM Window Cleaning,window cleaning,(917) 485-0774,,http://dm-windowcleaning.com/,,,Brooklyn,NY,40.7676459,-73.7935466,gmaps_apify,new,2026-08-04T15:10:33.638+00:00
