id,name,service_type,phone,owner_email,website_url,instagram,address,city,state,lat,lon,data_source,outreach_status,fetched_at
gmap:ChIJSQLyPYW22YgRv4MHD3FvPrg,Dermaclinic Miami LLC,stretch therapist,(786) 539-4905,,https://www.dermaclinicenter.com/,,"175 SW 7th St Apt 2009, Miami, FL 33130",Miami,Florida,25.7679767,-80.1967082,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJVbzFLcG22YgRaaMhritVvk8,UHealth Fitness and Wellness Center,stretch therapist,(305) 243-7662,,https://umiamihealth.org/locations/uhealth-fitness-and-wellness-center,,"1120 NW 14th St 9th Floor, Miami, FL 33136",Miami,Florida,25.7868404,-80.2132263,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJRy9pVZq22YgRe_FGZhi10ZU,Monster Cast Fitness,stretch therapist,(786) 479-9793,,http://www.monstercast.net/,,"111 SW 3rd St 7 floor, Miami, FL 33130",Miami,Florida,25.7719573,-80.195982,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJ26mPdqy22YgR--0qgh6pn6o,LEGACY,stretch therapist,(305) 799-0850,,https://www.legacyfit.com/,,"2243 N Miami Ave #110, Miami, FL 33127",Miami,Florida,25.7982131,-80.1947252,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJH0_XQG232YgRqU2z0N9rxDk,Helix Performance Recovery,stretch therapist,(305) 539-0222,,https://helixperformancerecovery.com/,,"77 NE 24th St, Miami, FL 33137",Miami,Florida,25.800114,-80.1931295,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJk_AMtBW32YgRFhLp1a1yHnM,WynWellness,stretch therapist,(786) 899-0595,,https://wynwellness.com/,,"4770 Biscayne Blvd #610, Miami, FL 33137",Miami,Florida,25.8187665,-80.1883019,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJSdDpPbS32YgRNJBdqLMOiqU,Pure Physical Therapy,stretch therapist,(305) 771-0565,,http://www.pureptmiami.com/,,"3850 Bird Rd #106, Miami, FL 33146",Miami,Florida,25.7342533,-80.2567915,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJOfuer8-32YgRc9P87TZHNTo,OM Movement,stretch therapist,(786) 452-8428,,http://ommovementstudio.com/,,"2895 McFarlane Rd 2nd floor, Coconut Grove, FL 33133",Coconut Grove,Florida,25.7275273,-80.2411184,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJqwdw0K6x2YgR14-X1wlsogk,Stretch Ethos,stretch therapist,(786) 577-9332,,http://www.stretchethos.com/,,"my suite!, @beauty square, 3201 N Miami Ave Ste 109-38, Miami, FL 33127",Miami,Florida,25.8080579,-80.1950449,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJH_GrAY-22YgRSwv_xdPczeY,Icon Medical Centers,stretch therapist,(305) 928-2216,,https://iconmedicalcenters.com/miami/?utm_campaign=gmb,,"232 SW 8th St, Miami, FL 33130",Miami,Florida,25.7660921,-80.1981902,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJFY9dJpS32YgRse8Kyxp2jDo,PARC- Premier Athletic Rehab Center,stretch therapist,(305) 680-1570,,https://parcpt.com/physical-therapy-clinic/miami-fl/,,"2631 SW 27th St, Miami, FL 33133",Miami,Florida,25.7420138,-80.2372228,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJ-aVScC232YgRakSwJ3ZvaXc,Infinity Delta,stretch therapist,(786) 591-7586,,http://infinitydelta.io/,,"310 NE 61st St, Miami, FL 33137",Miami,Florida,25.832267,-80.1898853,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJoUP0pJ632YgRHNtwe0KuRXo,"Lux Lifestyle Chiropractic || Dr. Brittany Holliday, DC",stretch therapist,(786) 919-6316,,https://www.luxlifestylechiropractic.com/,,"23 Almeria Ave, Coral Gables, FL 33134",Coral Gables,Florida,25.7474053,-80.2551823,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJJeQrnoSx2YgRbJn-rf8hsxM,Sila Miami,stretch therapist,(305) 224-6399,,https://silamiami.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=main_button,,"5030 NE 2nd Ave Unit 405, Miami, FL 33137",Miami,Florida,25.8217694,-80.1919418,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJDZd4dqi22YgRqBYblX38cxs,DeNatura Wellness,stretch therapist,(305) 814-9818,,https://www.denatura.com/,,"2831 S Bayshore Dr, Miami, FL 33133",Miami,Florida,25.7293556,-80.2385542,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJS0EzTY-x2YgR6MFZvNGKjT0,Primal Fit Miami,stretch therapist,(305) 951-6648,,https://primalfitmiami.com/,,"8200 NE 2nd Ave, Miami Shores, FL 33138",Miami Shores,Florida,25.8499579,-80.1930793,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJHbaiBIi22YgRi9ehwr04XYY,Skanda Yoga Studio,stretch therapist,(786) 567-8124,,http://www.skandayogastudio.com/,,"1800 SW 1st Ave #102, Miami, FL 33129",Miami,Florida,25.7580426,-80.1991177,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJr5YnzIC72YgRzdzRQNMalxI,PhysioLogix Concierge Physical Therapy and Wellness,stretch therapist,(305) 902-6090,,http://physiologixpt.com/,,,Brickell,FL,25.782414,-80.2253934,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJ02N6Tom32YgRGOY66skXehE,"Rehab Concierge Services, LLC",stretch therapist,(305) 904-6527,,http://www.rehabconciergemiami.com/,,"1420 NE Miami Pl, Miami, FL 33132",Miami,Florida,25.7885381,-80.1934529,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJRYuO_tux2YgR0Yot9D75yjg,"Hijama Miami - Dry Cupping, Deep Stretching, and Wet Cupping Therapy.",stretch therapist,(305) 645-0657,,,,"2915 Biscayne Blvd, Miami, FL 33137",Miami,Florida,25.8044981,-80.1892029,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJ6_QlqGa32YgR0q0rbuBL5Hg,Stretch Zone,stretch therapist,(305) 235-1999,,https://www.stretchzone.com/locations/brickell/,,"1390 Brickell Ave Ste 102, Miami, FL 33131",Miami,Florida,25.7606523,-80.1926555,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJmVpBZia32YgRs7wdy4sBkD0,Stretch Zone,stretch therapist,(786) 636-1306,,https://www.stretchzone.com/locations/coconut-grove,,"2829 Bird Ave, Miami, FL 33133",Miami,Florida,25.7358782,-80.2391568,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJMb4Ew9a52YgRni9zVsS-LrM,"iCare Chiropractic, P.A.",stretch therapist,(786) 391-3868,,https://www.icarechiro.com/,,"5226 W Flagler St, Miami, FL 33134",Miami,Florida,25.7707387,-80.2810296,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJVXjzEc-32YgRmqPDA2_ftMs,Pilates in the Grove- Coconut Grove,stretch therapist,(305) 446-6899,,https://www.pilatesinthegrove.com/,,"3316 Virginia St, Coconut Grove, FL 33133",Coconut Grove,Florida,25.729465,-80.241984,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJ5aiat8C32YgR_DOtZIz43b4,The Miami Chiropractor,stretch therapist,(305) 791-4609,,https://themiamichiropractor.com/,,"2140 S Dixie Hwy Ste 205E, Miami, FL 33133",Miami,Florida,25.7430541,-80.2282102,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJK8cFg0i32YgRvx4RJ58Jd_0,RECVR • IV Therapy • Sports Therapy,stretch therapist,(786) 447-8115,,https://www.recvrbrand.com/,,"3301 NE 1st Ave Ste 114, Miami, FL 33137",Miami,Florida,25.8077848,-80.192272,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJLzKKwKm22YgRlGtbbxjjJSM,Bagley Physical Therapy,stretch therapist,(856) 816-0695,,https://bagleyphysicaltherapy.com/contact-us/,,"CU 8, 2045 Biscayne Blvd, Miami, FL 33137",Miami,Florida,25.7961075,-80.1888327,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJIzF3LPq22YgRed_ipc-YF-I,Liz Skincare,stretch therapist,(305) 541-1630,,http://lizskincare.com/,,"2200 SW 16th St #224, Miami, FL 33145",Miami,Florida,25.7578682,-80.2310878,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJ0WYjVuXH2YgRIPGhCbY-0xo,Clinic Libessart,stretch therapist,(305) 663-4499,,https://cliniclibessart.com/,,"3850 Bird Rd Ste 502, Coral Gables, FL 33146",Coral Gables,Florida,25.734454,-80.256728,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJqQdykcC30YgRK5xABBgRqMc,Temple Lioness,stretch therapist,(941) 993-4433,,https://templelioness.com/temple-home-1,,"7630 NE 1st Ave, Miami, FL 33138",Miami,Florida,25.8453196,-80.1954544,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJHcaRoau22YgRHwCY_rlO6ls,Fox Physical Therapy,stretch therapist,(305) 735-8901,,https://foxpt.com/,,"162 NE 25th St #103, Miami, FL 33137",Miami,Florida,25.8006645,-80.1911604,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJHdQizaK32YgReLfg32TvYiU,ASR Sports Medicine Brickell,stretch therapist,(305) 984-1155,,https://asrsportsmedicine.com/,,"1106 S Miami Ave #201, Miami, FL 33130",Miami,Florida,25.7632277,-80.1933283,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJaaye6q212YgRYR7CL0STwKA,One&Fit Outdoor Stretch,stretch therapist,(786) 227-7252,,http://www.oneandfit.com/,,"1745 N Bayshore Dr, Miami, FL 33132",Miami,Florida,25.7935309,-80.1857629,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJNzRzBa632YgR056DtBa_hM0,Publix Super Market on SW 27th Ave.,meal prep,(305) 445-9661,,https://www.publix.com/?setstorenumber=127&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url,,"2270 SW 27th Ave, Miami, FL 33145",Miami,Florida,25.7489394,-80.2390344,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJJ-YCrau32YgRrR2M1W_RPF4,Sadelle's Coconut Grove,meal prep,(305) 990-8707,,https://www.sadelles.com/?utm_medium=Click&utm_source=GoogleMyBusiness,,"3321 Mary St, Miami, FL 33133",Miami,Florida,25.7298019,-80.2391781,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJCXBDqZG32YgRgS2i2rMo1pM,"Maria Vallasciani, RD - Dietitian Nutritionist",meal prep,(617) 982-3658,,https://www.faynutrition.com/dietitians/maria-vallasciani?utm_source=gmb&utm_medium=organic,,"2000 S Dixie Hwy #206A, Miami, FL 33133",Miami,Florida,25.7436879,-80.2266634,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJPUWrx5a32YgRbNX4FqH5Mx4,The Green Kitchen,meal prep,(786) 933-9623,,http://thelocalculinary.com/,,"100 S Miami Ave, Miami, FL 33130",Miami,Florida,25.7731913,-80.1938523,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJVTNHCAYCSoMRrz3kwuHMJ1Q,VJ Cuisine LLC,meal prep,(305) 812-3918,,https://vjcuisine.com/,,,Brickell,FL,25.732887,-80.2253934,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJO6vyDcW32YgRtRWZ_98VGq4,Strada in the Grove,meal prep,(305) 444-1312,,https://www.stradainthegrove.com/?utm_source=googlemybusiness,,"3197 Commodore Plaza, Miami, FL 33133",Miami,Florida,25.72779,-80.2446452,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJ1zwQ0G-x2YgR9Hr9cXKY87w,Dragonfly Chef,meal prep,(786) 340-1759,,https://dragonflychef.com/contact,,"6960 NW 2nd Ave, Miami, FL 33150",Miami,Florida,25.8388694,-80.2008311,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJxVsrZXmx2YgRb6IYwMK7bX4,Pastamarket,meal prep,(305) 587-9803,,https://www.pastamarkethandmade.com/,,"209 NE 82nd Terrace, Miami, FL 33138",Miami,Florida,25.8500785,-80.1925048,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJp1RfiLS32YgRBsolbU9UWwk,Target Grocery,meal prep,(305) 894-1320,,https://www.target.com/sl/miami-nw-7th-street/3420/grocery?utm_source=OGS&utm_medium=groceryList&utm_id=3420,,"3825 NW 7th St, Miami, FL 33126",Miami,Florida,25.7799778,-80.2587905,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJC_2XPgCx2YgR4Q2POmInOYU,Whole Foods Market,meal prep,(305) 509-8200,,https://www.wholefoodsmarket.com/stores/midtownmiami?utm_source=google&utm_medium=organic&utm_campaign=listings,,"2910 Biscayne Blvd, Miami, FL 33137, United States",Miami,Florida,25.8044843,-80.189656,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJKfUKEtGx2YgRBZ_KbwliLoY,Graze Craze Charcuterie Boards & Boxes,meal prep,(786) 606-2722,,https://www.grazecraze.com/locations/miami-downtown-fl,,"4856 NW 2nd Ave, Miami, FL 33127",Miami,Florida,25.8203648,-80.2000378,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJLSgCYSiy2YgRHILcZiAxP7Y,Power Fitness Miami,meal prep,(305) 758-8600,,https://powerfitnessmiami.com/,,"8032 NE 2nd Ave, Miami, FL 33138",Miami,Florida,25.8490476,-80.1930851,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJr5CjCHui3YER78UVPI6aKC8,Bespoke Bites,meal prep,(786) 351-2284,,https://www.bespoke-bites.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=966888027391510790,,,Brickell,FL,25.7835645,-80.2250826,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJER_FpqS32YgRdGN8zUmZY14,The Vitamin Shoppe,meal prep,(305) 569-0525,,https://locations.vitaminshoppe.com/fl/miami/vitamins-supplements-miami-fl-481.html?utm_source=gmb&utm_medium=local,,"3301 SW 22nd St #101, Miami, FL 33145, United States",Miami,Florida,25.7502531,-80.248892,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJJ9VWp6e32YgRVABD8eBz9p0,Sushi Garage Cocowalk,meal prep,(305) 791-8244,,https://www.sushigarage.com/,,"3015 Grand Ave, Coconut Grove, FL 33133",Coconut Grove,Florida,25.7284195,-80.241958,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJP8aLkeW32YgRfmPsVXObIvI,Sushi by Scratch Restaurants: Miami,meal prep,(786) 254-1204,,https://www.sushibyscratchrestaurants.com/miami,,"3540 Main Hwy, Coconut Grove, FL 33133",Coconut Grove,Florida,25.7249927,-80.2452545,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJhRIdeAC32YgRwPyMITyQ0Gc,Target,meal prep,(786) 792-3171,,https://www.target.com/sl/miami-grove-central/3322,,"2750 SW 27th Terrace Ste 101, Miami, FL 33133",Miami,Florida,25.7400404,-80.239262,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJzwEUbJy22YgRAC47DmQmGB0,Pizza Onne,meal prep,(305) 808-7888,,,,"192 SE 1st Ave, Miami, FL 33130, United States",Miami,Florida,25.772803,-80.1921059,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJdfkR4PC32YgRgxEP4swq1oY,Sexy Fish Miami,meal prep,(305) 889-7888,,https://sexyfishmiami.com/?utm_source=LocalGoogleExtNet&utm_medium=Organic,,"1001 S Miami Ave, Miami, FL 33130, United States",Miami,Florida,25.7643553,-80.1930205,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJxQ0OaCu-JWgRn6V9ix3TWkY,Mestiza Meal Prep Miami,meal prep,(786) 567-3179,,https://mestizamealprepmiami.com/,,,Brickell,FL,25.7908315,-80.2186759,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJX7AIlpC22YgR-faru5-AMpM,The River Oyster Bar,meal prep,(305) 530-1915,,https://www.therivermiami.com/,,"33 SE 7th St Ste 100, Miami, FL 33131, United States",Miami,Florida,25.767666,-80.1919704,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJ7XCWls232YgRRz38wkzvM3A,Powerhouse Gym Miami,meal prep,(786) 615-6631,,http://www.powerhousegymsoflo.com/,,"450 NW 1st Ave Ste 200, Miami, FL 33128, United States",Miami,Florida,25.7783038,-80.1956511,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJU3skmkq32YgRDB6Kr8gIWlA,Avo Miami,meal prep,(786) 828-7138,,https://www.avo-miami.com/,,"2911 Grand Ave #400d, Miami, FL 33133",Miami,Florida,25.7287702,-80.2405659,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJ4_6PRU242YgRHO9EoxUgSH0,Walmart Neighborhood Market,meal prep,(786) 257-4094,,https://www.walmart.com/store/4140-miami-fl/?veh=seo_loc,,"6991 SW 8th St, Miami, FL 33144",Miami,Florida,25.7647989,-80.3088067,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJeWRcn5222YgRvTtLMdQCGy8,Whole Foods Market,meal prep,(305) 995-0600,,https://www.wholefoodsmarket.com/stores/downtownmiami?utm_source=google&utm_medium=organic&utm_campaign=listings,,"299 SE 3rd Ave, Miami, FL 33131, United States",Miami,Florida,25.7719548,-80.1891315,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJdzGrY0O32YgReavdoMySwAI,Dumplings Mi Amor,meal prep,(305) 733-1583,,http://dumplingsmiamor.com/,,"119 SE 2nd Ave, Miami, FL 33131, United States",Miami,Florida,25.7730048,-80.1901245,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJFyaeXzux2YgR0WEFmap9J4M,Elev8tion Fitness,meal prep,(305) 570-3559,,https://www.elev8tionfitness.com/,,"2991 NE 1st Ave, Miami, FL 33137, United States",Miami,Florida,25.8048033,-80.1934117,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJD4z8iaar2YgRSCBB3a_n52E,Austin Morell Training,meal prep,(786) 226-7643,,https://austinmorelltraining.com/,,"488 NE 18th St, Miami, FL 33132, United States",Miami,Florida,25.7934974,-80.1866012,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJawoJpTC32YgRWHFFWi6qLU4,Preddy Snatched,meal prep,(914) 494-1120,,https://app.acuityscheduling.com/schedule/806cfd02,,"100 S Biscayne Blvd, Miami, FL 33131, United States",Miami,Florida,25.7731164,-80.1882911,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJnx88KgC32YgRLiiIJh1LTbo,Vegan Corner Plant-Based Market (Benny's Corner),meal prep,(786) 316-1665,,http://www.bennyscorner.com/,,"45 NW 28th St, Miami, FL 33127, United States",Miami,Florida,25.8032588,-80.196,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJ41Vzg7W32YgRw2KYmwFXY4Y,K-Poppin Korean Fried Chicken,meal prep,(786) 791-7999,,,,"1900 NE Miami Ct, Miami, FL 33132, United States",Miami,Florida,25.795136,-80.194295,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJG0o4-_G32YgRvMkVn8usjKQ,ZOEMANGETITANDGO,meal prep,(786) 407-8990,,http://zoemangetitandgo.net/?utm_source=gmb&utm_medium=referral,,"600 NW 1st Ave, Miami, FL 33136, United States",Miami,Florida,25.7800878,-80.1955941,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJi9EFrh6x2YgRbgzPfBGo5QU,Linn Cuisine,meal prep,(305) 202-4345,,,,,Brickell,FL,25.782414,-80.2253934,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJQRHHGQC32YgRVQd384fG9no,Carrot Express,meal prep,(305) 845-7470,,https://carrotexpress.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,,"1418 NW N River Dr, Miami, FL 33125, United States",Miami,Florida,25.7854397,-80.2193284,google_lsa,new,2026-08-08T00:16:38.215+00:00
gmap:ChIJq8ZOjmi32YgRhcQVmjstTxw,Highly Flavored by Chef Dante,meal prep,(888) 927-9057,,https://highlyflavoredmeals.com/,,"66 W Flagler St Suit 900, Miami, FL 33130, United States",Miami,Florida,25.7739191,-80.1949873,google_lsa,new,2026-08-08T00:16:38.215+00:00
