id,name,service_type,phone,owner_email,website_url,instagram,address,city,state,lat,lon,data_source,outreach_status,fetched_at
osm:node/9421141021,Medgar Evers School of Professional & Community Development,tutor,(718) 804-8850,,https://www.mec.cuny.edu/academic-affairs/centers/,,1534 Bedford Avenue New York NY,New York,NY,40.6706662,-73.955413,osm,new,2026-08-03T03:02:16.549+00:00
osm:node/9203459392,Infinity Educational Programs,tutor,(718) 336-1981,,https://www.infinityeducationalprograms.com/,,1972 East 34th Street Brooklyn NY,Brooklyn,NY,40.6089922,-73.9333091,osm,new,2026-08-03T03:02:16.474+00:00
osm:node/9123149741,Saint Francis College Office of Advancement Alumni Center,tutor,(718) 489-5361,,https://www.sfc.edu/alumni/contactus,,133 Remsen Street New York NY,New York,NY,40.69384,-73.993064,osm,new,2026-08-03T03:02:16.366+00:00
osm:node/8993667770,Cornell Cooperative Extension of Niagara County,tutor,(716) 433-8839,niagara@cornell.edu,https://cceniagaracounty.org/,,4487 Lake Avenue Lockport NY,Lockport,NY,43.1918954,-78.6735893,osm,new,2026-08-03T03:02:15.74+00:00
osm:node/8783504574,Reading Town Academy,tutor,(516) 873-8500,,https://www.readingtown.com/location/nassau/,,424 Hillside Avenue Williston Park NY,Williston Park,NY,40.7541073,-73.657025,osm,new,2026-08-03T03:02:15.436+00:00
osm:node/8783498621,Mathnasium,tutor,(516) 550-9031,greatneck@mathnasium.com,https://www.mathnasium.com/math-centers/greatneck,,11 Great Neck Road Great Neck NY,Great Neck,NY,40.7866074,-73.7273123,osm,new,2026-08-03T03:02:14.979+00:00
osm:node/8586600577,Easy Español,tutor,(646) 233-4235,hello@easyespanol.org,https://www.easyespanol.org,http://www.instagram.com/easyespanol1/,10 East 39th Street New York NY,New York,NY,40.7511092,-73.9815702,osm,new,2026-08-03T03:02:13.96+00:00
osm:node/8726300009,iKlass Tutoring,tutor,(718) 779-1700,,,,90-11 35th Avenue New York NY,New York,NY,40.7527243,-73.8771199,osm,new,2026-08-03T03:02:13.96+00:00
osm:node/8232868081,Literacy Zone,tutor,(518) 725-3308,,,,43 North Main Street Gloversville NY,Gloversville,NY,43.051779,-74.3449604,osm,new,2026-08-03T03:02:07.609+00:00
osm:node/7606819247,Royal Learning Institute,tutor,(212) 795-0500,,https://www.rli.edu/,,254 West 29th Street New York NY,New York,NY,40.7487963,-73.9953989,osm,new,2026-08-03T03:02:07.294+00:00
osm:way/822755602,Aim's Pack and Ship,mover,(607) 324-2824,,https://www.aimspacknship.com,,12 East Avenue Extension Hornell NY,Hornell,NY,42.3101051,-77.6510739,osm,new,2026-08-03T03:02:07.153+00:00
osm:node/5907394842,Mathnasium,tutor,(516) 569-1500,,,,414 Central Avenue Cedarhurst NY,Cedarhurst,NY,40.6198757,-73.7264758,osm,new,2026-08-03T03:02:07.142+00:00
osm:node/5853969352,Delta Learning Center,tutor,(718) 232-6068,,,,7704 17th Avenue New York NY,New York,NY,40.6136262,-73.9998333,osm,new,2026-08-03T03:02:07.142+00:00
osm:node/5816819675,Kumon,tutor,(516) 406-1000,,,,1586 Broadway Hewlett NY,Hewlett,NY,40.6451967,-73.6929581,osm,new,2026-08-03T03:02:07.142+00:00
osm:node/6498380201,Ulster and Orange BOCES,tutor,(845) 781-6715,,,,130 Dolson Avenue Middletown NY,Middletown,NY,41.4291753,-74.4271307,osm,new,2026-08-03T03:02:07.142+00:00
osm:node/5326013815,Huntington Learning Center,tutor,(718) 230-4600,,https://huntingtonhelps.com/center/park-slope,,808 Union Street Brooklyn NY,Brooklyn,NY,40.6743375,-73.9759341,osm,new,2026-08-03T03:02:07.136+00:00
osm:node/4454807339,KidsThrive NYC,tutor,(212) 685-3266,,https://www.kidsthrivenyc.com/,,303 5th Avenue New York NY,New York,NY,40.7465547,-73.9854766,osm,new,2026-08-03T03:02:07.053+00:00
osm:node/5190434702,Campus Midtown ESL & TOEFL,tutor,(646) 861-0006,,,,49 West 33rd Street New York NY,New York,NY,40.7488378,-73.987297,osm,new,2026-08-03T03:02:07.053+00:00
osm:node/4215954648,Bushra's Tutorial,tutor,(171) 848-0343,,http://bushrastutorial.weebly.com,,168-47 Hillside Avenue Jamaica NY,Jamaica,NY,40.7109465,-73.7933265,osm,new,2026-08-03T03:02:06.937+00:00
osm:node/4162400719,Bobby-Tariq Tutoring Center,tutor,(718) 210-3430,,https://www.bobbytariq.com/jamaica/,,171-16 Hillside Avenue Jamaica NY,Jamaica,NY,40.7114232,-73.790276,osm,new,2026-08-03T03:02:06.811+00:00
osm:node/3251326797,Levy Economics Institute,tutor,(845) 758-7700,,https://www.levyinstitute.org/,,Annandale-on-Hudson NY,Annandale-on-Hudson,NY,42.0208297,-73.9166644,osm,new,2026-08-03T03:02:06.38+00:00
osm:node/3225584695,Hannah Arendt Center,tutor,(845) 758-7878,,,,New York NY,New York,NY,42.0254836,-73.9063145,osm,new,2026-08-03T03:02:06.101+00:00
osm:node/3219606769,Bard MAT,tutor,(845) 758-7151,,https://www.bard.edu/mat/,,7401 South Broadway Red Hook NY,Red Hook,NY,41.991592,-73.8798229,osm,new,2026-08-03T03:02:06.101+00:00
osm:node/2959400324,Frontline Health,tutor,(212) 983-5389,mailer@frontlinehealth.com,https://www.frontlinehealth.com/,,555 8th Avenue New York NY,New York,NY,40.754632,-73.9919761,osm,new,2026-08-03T03:02:05.814+00:00
osm:node/2860239407,GMAT & GRE Math Tutor,tutor,(617) 329-1132,stephen@gmatmathtutor.com,http://gmatmathtutor.com,,281 Union Avenue 4B Brooklyn NY,Brooklyn,NY,40.7085398,-73.9509976,osm,new,2026-08-03T03:02:05.705+00:00
osm:node/2858129041,Mamun Tutorial,tutor,(347) 657-0530,mamunstutorials@gmail.com,https://www.mamuntutorial.com/,,1504 Olmstead Avenue Bronx NY,Bronx,NY,40.8363448,-73.855053,osm,new,2026-08-03T03:02:05.496+00:00
osm:node/2744863929,Robofun,tutor,(212) 245-0444,user@domain.com,https://www.robofun.org/,,110 West End Avenue New York NY,New York,NY,40.7749685,-73.9877514,osm,new,2026-08-03T03:02:05.379+00:00
osm:node/2695350395,Cornell Cooperative Extension,tutor,(845) 340-3990,ulster@cornell.edu,https://ulster.cce.cornell.edu/,,232 Plaza Road Kingston NY,Kingston,NY,41.9373477,-74.0172927,osm,new,2026-08-03T03:02:05.28+00:00
osm:node/2552919230,Kuei Luck Enrichment Center,tutor,(718) 679-9908,info@kueiluck.com,https://www.kueiluck.com/,,195-5 69th Avenue New York NY,New York,NY,40.7371492,-73.778305,osm,new,2026-08-03T03:02:05.111+00:00
osm:node/357616326,Manhattan Bible Institute of New York,tutor,(646) 907-1999,,https://www.facebook.com/ManhattanBibleInstitute/,,511 West 148th Street New York NY,New York,NY,40.8275716,-73.94688,osm,new,2026-08-03T03:02:04.664+00:00
osm:node/2427504766,Kumon,tutor,(315) 487-3483,,,,3704 Milton Avenue Camillus NY,Camillus,NY,43.0533953,-76.2614887,osm,new,2026-08-03T03:02:04.664+00:00
osm:node/2065151599,Reading Town,tutor,(718) 784-1234,,,,New York NY,New York,NY,40.744792,-73.929567,osm,new,2026-08-03T03:02:04.664+00:00
osm:way/283151670,The Moving Doctor,mover,(800) 515-6683,info@movingdr.com,https://www.movingdr.com,,108-20 180th Street Jamaica NY,Jamaica,NY,40.701163,-73.7762561,osm,new,2026-08-03T03:02:03.93+00:00
osm:way/686875394,Tri-State Movers,mover,(845) 344-2844,,,,8 Davidge Road Middletown NY,Middletown,NY,41.4613767,-74.4275176,osm,new,2026-08-03T03:02:03.93+00:00
osm:way/679611890,A W Express Inc Moving & Storage,mover,(548) 344-0844,,,,130 Wickham Avenue Middletown NY,Middletown,NY,41.4509104,-74.4135218,osm,new,2026-08-03T03:02:03.93+00:00
osm:way/248239433,U. Santini Moving & Storage,mover,(718) 768-6778,,https://usantini.com,,239 15th Street New York NY,New York,NY,40.6652454,-73.9882243,osm,new,2026-08-03T03:02:03.812+00:00
osm:node/13111871976,East Side Movers,mover,(914) 699-1122,sales@moveesm.com,https://moveesm.com,,525 South 4th Avenue Mt. Vernon NY,Mt. Vernon,NY,40.8987423,-73.8319322,osm,new,2026-08-03T03:02:03.744+00:00
osm:node/12255801440,ZippyShell Albany,mover,(888) 947-7974,,https://www.zippyshell.com/locations/new-york/albany,,55 Duanesburg Rd Schenectady NY,Schenectady,NY,42.7774555,-73.9782784,osm,new,2026-08-03T03:02:02.498+00:00
