id,name,service_type,phone,owner_email,website_url,instagram,address,city,state,lat,lon,data_source,outreach_status,fetched_at
yp:3473378578:queens,NYC Top Tutors,gmat tutor,(347) 337-8578,,http://nyctoptutors.com,,"New York, NY 10038",Queens,NY,,,yellowpages_apify,new,2026-08-05T17:02:23.814+00:00
yp:2129668831:queens,Tes Tutoring Center Inc,gmat tutor,(212) 966-8831,,http://testutoringcenter.com,,"New York, NY 10013",Queens,NY,,,yellowpages_apify,new,2026-08-05T17:02:23.814+00:00
yp:2126251883:queens,Kumon Math and Reading Center,gmat tutor,(212) 625-1883,,http://www.kumon.com/CHINATOWN,,"New York, NY 10013",Queens,NY,,,yellowpages_apify,new,2026-08-05T17:02:23.793+00:00
yp:2128199077:queens,Siecus,gmat tutor,(212) 819-9077,,http://siecus.org,,"New York, NY 10038",Queens,NY,,,yellowpages_apify,new,2026-08-05T17:02:23.752+00:00
yp:2123493212:queens,Li's Learning Center,gmat tutor,(212) 349-3212,,http://yellowpages.com/new-york-ny/mip/new-york-law-school-473060144,,"New York, NY 10013",Queens,NY,,,yellowpages_apify,new,2026-08-05T17:02:23.567+00:00
yp:6467082116:queens,Intelligent Math,gmat tutor,(646) 708-2116,,https://www.yellowpages.com/new-york-ny/mip/intelligent-math-531248809,,"New York, NY 10013",Queens,NY,,,yellowpages_apify,new,2026-08-05T17:02:23.567+00:00
yp:2126088801:queens,Da Tong Workshop,gmat tutor,(212) 608-8801,,https://www.yellowpages.com/new-york-ny/mip/da-tong-workshop-480243160,,"New York, NY 10013",Queens,NY,,,yellowpages_apify,new,2026-08-05T17:02:23.532+00:00
yp:7188521029:queens,Brooklyn Friends School,gmat tutor,(718) 852-1029,,https://brooklynfriends.org,,"New York, NY 10038",Queens,NY,,,yellowpages_apify,new,2026-08-05T17:02:23.532+00:00
yp:2122335200:queens,North American Conference On Ethiopian Jewry,gmat tutor,(212) 233-5200,,http://nacoej.org,,"New York, NY 10038",Queens,NY,,,yellowpages_apify,new,2026-08-05T17:02:23.199+00:00
yp:2127320277:queens,Teaching House,gmat tutor,(212) 732-0277,info@teachinghouse.group,http://www.teachinghouse.com,,"New York, NY 10007",Queens,NY,,,yellowpages_apify,new,2026-08-05T17:02:20.06+00:00
yp:6467500202:queens,Parliament Tutors,gmat tutor,(646) 750-0202,,https://www.parliamenttutors.com/locations/NY/New-York,,"New York, NY 10128",Queens,NY,,,yellowpages_apify,new,2026-08-05T17:02:19.929+00:00
